time,badj_open,badj_high,badj_low,badj_close,unadj_open,unadj_high,unadj_low,unadj_close,source,conflict,unadj_prev_close,badj_prev_close,badj_close_delta,badj_open_gap_delta,continuous_return,continuous_gap_return,unadj_raw_return,estimated_roll_effect_return,mnq_point_pnl_per_contract,nq_point_pnl_per_contract
2007-06-20,5488.0,5496.0,5466.25,5468.75,1967.0,1975.0,1945.25,1947.75,long_file_only,False,,,,,,,,,,
2007-06-21,5469.75,5489.0,5459.25,5486.75,1948.75,1968.0,1938.25,1965.75,long_file_only,False,1947.75,5468.75,18.0,1.0,0.009241432422025414,0.0005134129123347452,0.009241432422025353,-6.071532165918825e-17,36.0,360.0
2007-06-22,5486.75,5487.5,5461.25,5469.0,1965.75,1966.5,1940.25,1948.0,long_file_only,False,1965.75,5486.75,-17.75,0.0,-0.009029632455805672,0.0,-0.00902963245580568,-8.673617379884035e-18,-35.5,-355.0
2007-06-25,5468.75,5479.25,5448.0,5462.0,1947.75,1958.25,1927.0,1941.0,long_file_only,False,1948.0,5469.0,-7.0,-0.25,-0.003593429158110883,-0.00012833675564681725,-0.0035934291581108946,-1.1709383462843448e-17,-14.0,-140.0
2007-06-26,5462.5,5469.5,5444.5,5446.5,1941.5,1948.5,1923.5,1925.5,long_file_only,False,1941.0,5462.0,-15.5,0.5,-0.007985574446161773,0.00025759917568263783,-0.00798557444616177,3.469446951953614e-18,-31.0,-310.0
2007-06-27,5447.5,5477.75,5439.0,5476.5,1926.5,1956.75,1918.0,1955.5,long_file_only,False,1925.5,5446.5,30.0,1.0,0.015580368735393405,0.0005193456245131135,0.01558036873539348,7.45931094670027e-17,60.0,600.0
2007-06-28,5475.75,5488.75,5472.5,5476.25,1954.75,1967.75,1951.5,1955.25,long_file_only,False,1955.5,5476.5,-0.25,-0.75,-0.00012784454103809768,-0.000383533623114293,-0.00012784454103809129,6.396792817664476e-18,-0.5,-5.0
2007-06-29,5478.0,5490.25,5462.5,5477.0,1957.0,1969.25,1941.5,1956.0,long_file_only,False,1955.25,5476.25,0.75,1.75,0.0003835826620636747,0.0008950262114819077,0.0003835826620637306,5.589062199162775e-17,1.5,15.0
2007-07-02,5476.0,5496.25,5475.75,5493.0,1955.0,1975.25,1954.75,1972.0,long_file_only,False,1956.0,5477.0,16.0,-1.0,0.0081799591002045,-0.0005112474437627812,0.008179959100204526,2.6020852139652106e-17,32.0,320.0
2007-07-03,5494.0,5506.0,5492.75,5506.0,1973.0,1985.0,1971.75,1985.0,long_file_only,False,1972.0,5493.0,13.0,1.0,0.006592292089249493,0.0005070993914807302,0.006592292089249385,-1.0755285551056204e-16,26.0,260.0
2007-07-05,5506.5,5524.75,5500.0,5519.0,1985.5,2003.75,1979.0,1998.0,long_file_only,False,1985.0,5506.0,13.0,0.5,0.00654911838790932,0.00025188916876574307,0.006549118387909392,7.19910242530375e-17,26.0,260.0
2007-07-06,5517.5,5530.75,5513.5,5530.0,1996.5,2009.75,1992.5,2009.0,long_file_only,False,1998.0,5519.0,11.0,-1.5,0.0055055055055055055,-0.0007507507507507507,0.005505505505505548,4.2500725161431774e-17,22.0,220.0
2007-07-09,5529.0,5535.5,5522.25,5529.5,2008.0,2014.5,2001.25,2008.5,long_file_only,False,2009.0,5530.0,-0.5,-1.0,-0.00024888003982080636,-0.0004977600796416127,-0.0002488800398208202,-1.3823577699190182e-17,-1.0,-10.0
2007-07-10,5530.0,5531.75,5510.25,5513.0,2009.0,2010.75,1989.25,1992.0,long_file_only,False,2008.5,5529.5,-16.5,0.5,-0.008215085884988798,0.00024894199651481205,-0.00821508588498876,3.8163916471489756e-17,-33.0,-330.0
2007-07-11,5513.0,5531.0,5504.0,5530.5,1992.0,2010.0,1983.0,2009.5,long_file_only,False,1992.0,5513.0,17.5,0.0,0.008785140562248996,0.0,0.008785140562248994,-1.734723475976807e-18,35.0,350.0
2007-07-12,5530.75,5560.25,5527.25,5555.75,2009.75,2039.25,2006.25,2034.75,long_file_only,False,2009.5,5530.5,25.25,0.25,0.012565314754914158,0.0001244090569793481,0.01256531475491407,-8.847089727481716e-17,50.5,505.0
2007-07-13,5555.25,5572.25,5554.5,5567.75,2034.25,2051.25,2033.5,2046.75,long_file_only,False,2034.75,5555.75,12.0,-0.5,0.005897530409141172,-0.0002457304337142155,0.005897530409141094,-7.806255641895632e-17,24.0,240.0
2007-07-16,5568.5,5576.75,5562.5,5569.5,2047.5,2055.75,2041.5,2048.5,long_file_only,False,2046.75,5567.75,1.75,0.75,0.0008550140466593379,0.00036643459142543056,0.0008550140466594414,1.0343288725511712e-16,3.5,35.0
2007-07-17,5569.0,5585.25,5563.25,5581.75,2048.0,2064.25,2042.25,2060.75,long_file_only,False,2048.5,5569.5,12.25,-0.5,0.005979985355137905,-0.000244081034903588,0.0059799853551378845,-2.0816681711721685e-17,24.5,245.0
2007-07-18,5577.5,5581.5,5557.0,5580.75,2056.5,2060.5,2036.0,2059.75,long_file_only,False,2060.75,5581.75,-1.0,-4.25,-0.00048526022079340043,-0.002062355938371952,-0.00048526022079342646,-2.6020852139652106e-17,-2.0,-20.0
2007-07-19,5580.5,5598.75,5575.25,5586.5,2059.5,2077.75,2054.25,2065.5,long_file_only,False,2059.75,5580.75,5.75,-0.25,0.0027916009224420437,-0.00012137395314965408,0.002791600922442017,-2.688821387764051e-17,11.5,115.0
2007-07-20,5584.5,5586.5,5561.0,5576.25,2063.5,2065.5,2040.0,2055.25,long_file_only,False,2065.5,5586.5,-10.25,-2.0,-0.004962478818687969,-0.0009682885499878964,-0.004962478818687943,2.6020852139652106e-17,-20.5,-205.0
2007-07-23,5574.5,5584.0,5568.0,5574.5,2053.5,2063.0,2047.0,2053.5,long_file_only,False,2055.25,5576.25,-1.75,-1.75,-0.0008514779223938694,-0.0008514779223938694,-0.0008514779223938174,5.204170427930421e-17,-3.5,-35.0
2007-07-24,5574.25,5575.25,5532.0,5546.5,2053.25,2054.25,2011.0,2025.5,long_file_only,False,2053.5,5574.5,-28.0,-0.25,-0.013635256878500122,-0.00012174336498660823,-0.01363525687850009,3.122502256758253e-17,-56.0,-560.0
2007-07-25,5547.25,5557.0,5531.75,5547.5,2026.25,2036.0,2010.75,2026.5,long_file_only,False,2025.5,5546.5,1.0,0.75,0.0004937052579609973,0.00037027894347074796,0.0004937052579609968,-4.336808689942018e-19,2.0,20.0
2007-07-26,5547.5,5560.5,5490.25,5521.5,2026.5,2039.5,1969.25,2000.5,long_file_only,False,2026.5,5547.5,-26.0,0.0,-0.012830002467308166,0.0,-0.012830002467308144,2.2551405187698492e-17,-52.0,-520.0
2007-07-27,5520.5,5533.5,5481.75,5484.5,1999.5,2012.5,1960.75,1963.5,long_file_only,False,2000.5,5521.5,-37.0,-1.0,-0.01849537615596101,-0.0004998750312421895,-0.018495376155960974,3.469446951953614e-17,-74.0,-740.0
