date,badj_open,badj_high,badj_low,badj_close,unadj_open,unadj_high,unadj_low,unadj_close
2007-06-20,5488.0,5496.0,5466.25,5468.75,1967.0,1975.0,1945.25,1947.75
2007-06-21,5469.75,5489.0,5459.25,5486.75,1948.75,1968.0,1938.25,1965.75
2007-06-22,5486.75,5487.5,5461.25,5469.0,1965.75,1966.5,1940.25,1948.0
2007-06-25,5468.75,5479.25,5448.0,5462.0,1947.75,1958.25,1927.0,1941.0
2007-06-26,5462.5,5469.5,5444.5,5446.5,1941.5,1948.5,1923.5,1925.5
2007-06-27,5447.5,5477.75,5439.0,5476.5,1926.5,1956.75,1918.0,1955.5
2007-06-28,5475.75,5488.75,5472.5,5476.25,1954.75,1967.75,1951.5,1955.25
2007-06-29,5478.0,5490.25,5462.5,5477.0,1957.0,1969.25,1941.5,1956.0
2007-07-02,5476.0,5496.25,5475.75,5493.0,1955.0,1975.25,1954.75,1972.0
2007-07-03,5494.0,5506.0,5492.75,5506.0,1973.0,1985.0,1971.75,1985.0
2007-07-05,5506.5,5524.75,5500.0,5519.0,1985.5,2003.75,1979.0,1998.0
2007-07-06,5517.5,5530.75,5513.5,5530.0,1996.5,2009.75,1992.5,2009.0
2007-07-09,5529.0,5535.5,5522.25,5529.5,2008.0,2014.5,2001.25,2008.5
2007-07-10,5530.0,5531.75,5510.25,5513.0,2009.0,2010.75,1989.25,1992.0
2007-07-11,5513.0,5531.0,5504.0,5530.5,1992.0,2010.0,1983.0,2009.5
2007-07-12,5530.75,5560.25,5527.25,5555.75,2009.75,2039.25,2006.25,2034.75
2007-07-13,5555.25,5572.25,5554.5,5567.75,2034.25,2051.25,2033.5,2046.75
2007-07-16,5568.5,5576.75,5562.5,5569.5,2047.5,2055.75,2041.5,2048.5
2007-07-17,5569.0,5585.25,5563.25,5581.75,2048.0,2064.25,2042.25,2060.75
2007-07-18,5577.5,5581.5,5557.0,5580.75,2056.5,2060.5,2036.0,2059.75
2007-07-19,5580.5,5598.75,5575.25,5586.5,2059.5,2077.75,2054.25,2065.5
2007-07-20,5584.5,5586.5,5561.0,5576.25,2063.5,2065.5,2040.0,2055.25
2007-07-23,5574.5,5584.0,5568.0,5574.5,2053.5,2063.0,2047.0,2053.5
2007-07-24,5574.25,5575.25,5532.0,5546.5,2053.25,2054.25,2011.0,2025.5
2007-07-25,5547.25,5557.0,5531.75,5547.5,2026.25,2036.0,2010.75,2026.5
2007-07-26,5547.5,5560.5,5490.25,5521.5,2026.5,2039.5,1969.25,2000.5
2007-07-27,5520.5,5533.5,5481.75,5484.5,1999.5,2012.5,1960.75,1963.5
2007-07-30,5485.5,5517.25,5478.25,5514.25,1964.5,1996.25,1957.25,1993.25
2007-07-31,5513.5,5532.5,5463.25,5466.75,1992.5,2011.5,1942.25,1945.75
2007-08-01,5472.5,5484.5,5444.75,5481.5,1951.5,1963.5,1923.75,1960.5
2007-08-02,5483.25,5503.0,5472.5,5501.0,1962.25,1982.0,1951.5,1980.0
2007-08-03,5500.25,5502.5,5449.5,5460.5,1979.25,1981.5,1928.5,1939.5
2007-08-06,5456.5,5485.75,5445.0,5483.5,1935.5,1964.75,1924.0,1962.5
2007-08-07,5483.0,5510.0,5463.5,5495.0,1962.0,1989.0,1942.5,1974.0
2007-08-08,5494.5,5527.75,5491.5,5520.25,1973.5,2006.75,1970.5,1999.25
2007-08-09,5518.5,5523.25,5463.5,5466.5,1997.5,2002.25,1942.5,1945.5
2007-08-10,5466.25,5476.75,5427.75,5450.0,1945.25,1955.75,1906.75,1929.0
2007-08-13,5454.25,5478.25,5453.0,5463.5,1933.25,1957.25,1932.0,1942.5
2007-08-14,5463.0,5472.75,5431.25,5435.75,1942.0,1951.75,1910.25,1914.75
2007-08-15,5435.25,5444.75,5393.75,5399.5,1914.25,1923.75,1872.75,1878.5
2007-08-16,5398.5,5399.75,5334.75,5377.5,1877.5,1878.75,1813.75,1856.5
2007-08-17,5381.0,5434.0,5350.25,5413.25,1860.0,1913.0,1829.25,1892.25
2007-08-20,5415.5,5428.5,5402.25,5418.75,1894.5,1907.5,1881.25,1897.75
2007-08-21,5419.25,5445.0,5409.75,5440.75,1898.25,1924.0,1888.75,1919.75
2007-08-22,5441.5,5467.25,5438.75,5466.0,1920.5,1946.25,1917.75,1945.0
2007-08-23,5465.75,5481.0,5448.5,5460.5,1944.75,1960.0,1927.5,1939.5
2007-08-24,5460.25,5491.0,5451.0,5490.5,1939.25,1970.0,1930.0,1969.5
2007-08-27,5490.5,5490.5,5469.25,5471.5,1969.5,1969.5,1948.25,1950.5
2007-08-28,5472.5,5473.75,5426.5,5428.75,1951.5,1952.75,1905.5,1907.75
2007-08-29,5430.75,5483.0,5427.0,5482.0,1909.75,1962.0,1906.0,1961.0
2007-08-30,5482.25,5508.0,5467.75,5495.75,1961.25,1987.0,1946.75,1974.75
2007-08-31,5494.0,5521.75,5494.0,5515.75,1973.0,2000.75,1973.0,1994.75
2007-09-04,5515.75,5559.5,5507.75,5545.75,1994.75,2038.5,1986.75,2024.75
2007-09-05,5545.75,5546.5,5512.25,5524.25,2024.75,2025.5,1991.25,2003.25
2007-09-06,5523.5,5532.0,5509.75,5524.75,2002.5,2011.0,1988.75,2003.75
2007-09-07,5524.5,5525.25,5473.75,5491.5,2003.5,2004.25,1952.75,1970.5
2007-09-10,5489.75,5507.75,5468.0,5489.25,1968.75,1986.75,1947.0,1968.25
